FID1	IID1	FID2	IID2	MOST_LIKELY_REL	LIKELIHOOD_VECTOR	IBD0	IBD1	IBD2	PI_HAT	-1	POSSIBLE_RELS	LIKELIHOOD_CUTOFF
0	id6	0	id16	UN	0,4.04568136411392e-51,1.2021878588324e-05,0.000480202323138203,0.0409167901190832,0.95859098567919	1.0	0.0	0.0	0.0	-1	UN	0.3
0	id6	0	id17	UN	0,4.04568136411392e-51,1.2021878588324e-05,0.000480202323138203,0.0409167901190832,0.95859098567919	1.0	0.0	0.0	0.0	-1	UN	0.3
0	id6	0	id18	UN	0,4.04568136411392e-51,1.2021878588324e-05,0.000480202323138203,0.0409167901190832,0.95859098567919	1.0	0.0	0.0	0.0	-1	UN	0.3
0	id6	0	id19	CGH	0,9.03045517808289e-11,0.401672331551017,0.59725766375758,0.00107000460109859,1.13070405850915e-48	0.604	0.395	0.0	0.1978	-1	HAG,CGH	0.3
0	id6	0	id20	HAG	5.56434353042297e-245,7.6891772256707e-05,0.995283872450129,0.00463923399222907,1.78538561017668e-09,3.47980511001273e-249	0.361	0.638	0.0	0.3194	-1	HAG	0.3
0	id7	0	id10	UN	0,4.04568136411392e-51,1.2021878588324e-05,0.000480202323138203,0.0409167901190832,0.95859098567919	1.0	0.0	0.0	0.0	-1	UN	0.3
0	id7	0	id11	CGH	0,9.03045517808289e-11,0.401672331551017,0.59725766375758,0.00107000460109859,1.13070405850915e-48	0.604	0.395	0.0	0.1977	-1	HAG,CGH	0.3
0	id7	0	id12	CGH	0,1.05436965799175e-13,0.176279516381307,0.811464423427442,0.0122560601911457,2.55415811080843e-19	0.677	0.322	0.0	0.1613	-1	CGH	0.3
0	id7	0	id13	CGH	0,3.77431186391204e-13,0.202821976679979,0.788718606870275,0.00845941644936861,3.60106569274062e-23	0.665	0.334	0.0	0.167	-1	CGH	0.3
0	id7	0	id14	UN	0,4.04568136411392e-51,1.2021878588324e-05,0.000480202323138203,0.0409167901190832,0.95859098567919	1.0	0.0	0.0	0.0	-1	UN	0.3
0	id7	0	id15	CGH	0,1.4068143505602e-14,0.144480243341483,0.835118746734419,0.0204010099240681,1.612834886402e-14	0.694	0.305	0.0	0.1528	-1	CGH	0.3
0	id7	0	id16	CGH	0,4.69874714047577e-10,0.462031529260586,0.537339118228363,0.00062935204117585,6.28183865627531e-56	0.59	0.409	0.0	0.2047	-1	HAG,CGH	0.3
0	id7	0	id17	CGH	0,1.94062574438027e-15,0.12122445811756,0.847246068768473,0.0315294730500516,6.39125156796886e-11	0.709	0.29	0.0	0.1452	-1	CGH	0.3
0	id7	0	id18	UN	0,4.04568136411392e-51,1.2021878588324e-05,0.000480202323138203,0.0409167901190832,0.95859098567919	1.0	0.0	0.0	0.0	-1	UN	0.3
0	id8	0	id10	UN	0,4.04568136411392e-51,1.2021878588324e-05,0.000480202323138203,0.0409167901190832,0.95859098567919	1.0	0.0	0.0	0.0	-1	UN	0.3
0	id8	0	id11	CGH	0,8.45183512909284e-15,0.137875393755133,0.839182760943888,0.022941845300802,1.68076212621571e-13	0.698	0.301	0.0	0.1508	-1	CGH	0.3
0	id8	0	id12	CGH	0,3.00714505103422e-15,0.125122434144287,0.846537692399847,0.0283398734472127,8.65033991939779e-12	0.705	0.295	0.0	0.1475	-1	CGH	0.3
0	id8	0	id13	CGH	0,2.0250839128168e-13,0.189094375657943,0.800711091816,0.0101945325258546,3.38595073197133e-21	0.671	0.328	0.0	0.1644	-1	CGH	0.3
0	id8	0	id14	UN	0,4.04568136411392e-51,1.2021878588324e-05,0.000480202323138203,0.0409167901190832,0.95859098567919	1.0	0.0	0.0	0.0	-1	UN	0.3
0	id8	0	id15	CGH	0,3.22168431962767e-18,0.0743435572375032,0.828882751982074,0.0963878406773462,0.000385850103076352	0.75	0.249	0.0	0.1245	-1	CGH	0.3
0	id8	0	id16	CGH	0,6.19923123656793e-13,0.214993577698046,0.777778983684588,0.0072274386167471,6.90149556980429e-25	0.66	0.339	0.0	0.1696	-1	CGH	0.3
0	id8	0	id17	CGH	0,5.62990210258301e-16,0.108826046521965,0.851216438457818,0.03995751171509,3.30512600686624e-09	0.717	0.283	0.0	0.1415	-1	CGH	0.3
0	id8	0	id18	UN	0,4.04568136411392e-51,1.2021878588324e-05,0.000480202323138203,0.0409167901190832,0.95859098567919	1.0	0.0	0.0	0.0	-1	UN	0.3
