Network	Pedigree	Founder	Network	Pedigree	Founder	degree_related	p_value
full.genome_network11	1	Missing1	NA	F004701	F004701	1	0.00000000000000000053643
full.genome_network12	1	Missing1	NA	F004701	F004701	1	0.0000000000036593
full.genome_network13	1	Missing1	NA	F004701	F004701	1	0.0000000021929
full.genome_network1	1	Missing1	NA	F004703	F004703	2	<10^-80
full.genome_network2	1	Missing3	NA	F004703	F004703	1	<10^-80
full.genome_network3	1	F024110	NA	F004703	F004703	6	0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000077747
full.genome_network4	1	F024121	NA	F004703	F004703	7	0.0000000000000000000000000000025357
full.genome_network5	1	F036273	NA	F004703	F004703	2	0.00000000013918
full.genome_network6	1	Missing1	NA	F004703	F004703	1	0.0000000090228
full.genome_network7	1	F036314	NA	F004703	F004703	2	0.000041835
full.genome_network8	1	Missing1	NA	F004703	F004703	1	0.000000023155
full.genome_network9	1	Missing1	NA	F004703	F004703	1	0.00000000039122
full.genome_network10	1	F036345	NA	F004703	F004703	2	0.000000089495
full.genome_network11	1	Missing1	NA	F004703	F004703	1	0.0000000000000000000092346
full.genome_network12	1	Missing1	NA	F004703	F004703	1	0.0000030873
full.genome_network13	1	Missing1	NA	F004703	F004703	1	0.0000000019928
full.genome_network1	1	Missing1	NA	F004944	F004944	1	0.00000000000084143
full.genome_network2	1	Missing3	NA	F004944	F004944	1	0.00000000000069145
full.genome_network3	1	F024110	NA	F004944	F004944	2	0.00000092270
full.genome_network4	1	F024121	NA	F004944	F004944	2	0.00025553
full.genome_network5	1	F036273	NA	F004944	F004944	2	0.000000016000
full.genome_network6	1	Missing1	NA	F004944	F004944	1	0.00000000000000000081282
full.genome_network7	1	F036314	NA	F004944	F004944	2	0.0015438
full.genome_network8	1	Missing1	NA	F004944	F004944	1	0.000000000011091
full.genome_network9	1	Missing1	NA	F004944	F004944	1	0.0000016337
full.genome_network10	1	F036345	NA	F004944	F004944	2	0.000000000000000000000000000000011109
full.genome_network11	1	Missing1	NA	F004944	F004944	1	0.0000000000018781
full.genome_network12	1	Missing1	NA	F004944	F004944	1	0.000000000012667
full.genome_network13	1	Missing1	NA	F004944	F004944	1	0.000000044789
full.genome_network1	1	Missing1	NA	F004961	F004961	1	0.00000000043902
full.genome_network2	1	Missing3	NA	F004961	F004961	6	0.000000000000017724
full.genome_network3	1	F024110	NA	F004961	F004961	2	0.00000078995
full.genome_network4	1	F024121	NA	F004961	F004961	2	0.0027258
full.genome_network5	1	F036273	NA	F004961	F004961	2	0.00000090589
full.genome_network6	1	Missing1	NA	F004961	F004961	1	0.00000000000000000000045035
full.genome_network7	1	F036314	NA	F004961	F004961	2	0.0020533
full.genome_network8	1	Missing1	NA	F004961	F004961	6	0.0000000000000000000035310
full.genome_network9	1	Missing1	NA	F004961	F004961	8	0.00000000000000036403
full.genome_network10	1	F036345	NA	F004961	F004961	7	0.000000000000000012059
full.genome_network11	1	Missing1	NA	F004961	F004961	8	0.00000000000000031754
full.genome_network12	1	Missing1	NA	F004961	F004961	1	0.000000000000013696
full.genome_network13	1	Missing1	NA	F004961	F004961	1	0.000000000035906
full.genome_network1	1	Missing1	NA	F005561	F005561	1	0.000000062709
full.genome_network2	1	Missing3	NA	F005561	F005561	1	0.000000000029911
full.genome_network3	1	F024110	NA	F005561	F005561	2	0.0000011183
full.genome_network4	1	F024121	NA	F005561	F005561	2	0.0055436
full.genome_network5	1	F036273	NA	F005561	F005561	2	<10^-80
full.genome_network6	1	Missing1	NA	F005561	F005561	1	<10^-80
full.genome_network7	1	F036314	NA	F005561	F005561	2	0.000000063684
full.genome_network8	1	Missing1	NA	F005561	F005561	1	0.00000000000000000000000053266
full.genome_network9	1	Missing1	NA	F005561	F005561	6	0.000000000000000000000000000000000000000026495
full.genome_network10	1	F036345	NA	F005561	F005561	7	0.000000000000000036414
full.genome_network11	1	Missing1	NA	F005561	F005561	6	0.0000000000000044826
full.genome_network12	1	Missing1	NA	F005561	F005561	1	0.000011135
full.genome_network13	1	Missing1	NA	F005561	F005561	1	0.000056627
full.genome_network1	1	Missing1	NA	F006228	F006228	1	0.0000000037809
full.genome_network2	1	Missing3	NA	F006228	F006228	1	0.0000000028088
full.genome_network3	1	F024110	NA	F006228	F006228	2	0.00000010946
full.genome_network4	1	F024121	NA	F006228	F006228	2	0.000063777
full.genome_network5	1	F036273	NA	F006228	F006228	2	0.00011306
full.genome_network6	1	Missing1	NA	F006228	F006228	1	0.00000000028332
full.genome_network7	1	F036314	NA	F006228	F006228	2	0.0000044109
full.genome_network8	1	Missing1	NA	F006228	F006228	1	0.0000000000021295
full.genome_network9	1	Missing1	NA	F006228	F006228	8	0.00000000010240
full.genome_network10	1	F036345	NA	F006228	F006228	2	0.00000038005
full.genome_network11	1	Missing1	NA	F006228	F006228	1	0.0000000000000000063790
full.genome_network12	1	Missing1	NA	F006228	F006228	1	0.00000000030443
full.genome_network13	1	Missing1	NA	F006228	F006228	1	0.00026504
full.genome_network1	1	Missing1	NA	F006230	F006230	1	0.000000017667
full.genome_network2	1	Missing3	NA	F006230	F006230	1	0.0000000000039771
full.genome_network3	1	F024110	NA	F006230	F006230	2	0.0000027009
full.genome_network4	1	F024121	NA	F006230	F006230	2	0.0017078
full.genome_network5	2	F036279	NA	F006230	F006230	8	0.0000000000000016718
full.genome_network6	1	Missing1	NA	F006230	F006230	8	0.0000000000000000000000014828
