Network	Pedigree	Founder	Network	Pedigree	Founder	degree_related
full.genome_network3	1	Missing4	NA	F006284	F006284	8
full.genome_network4	1	all	NA	F006284	all	UN
full.genome_network5	1	all	NA	F006284	all	UN
full.genome_network6	1	all	NA	F006284	all	UN
full.genome_network7	1	Missing2	NA	F006284	F006284	7
full.genome_network8	1	all	NA	F006284	all	UN
full.genome_network9	1	all	NA	F006284	all	UN
full.genome_network10	1	all	NA	F006284	all	UN
full.genome_network11	1	all	NA	F006284	all	UN
full.genome_network12	1	all	NA	F006284	all	UN
full.genome_network13	1	all	NA	F006284	all	UN
full.genome_network1	1	Missing1	NA	F006287	F006287	8
full.genome_network2	1	all	NA	F006287	all	UN
full.genome_network3	1	all	NA	F006287	all	UN
full.genome_network4	1	all	NA	F006287	all	UN
full.genome_network5	1	all	NA	F006287	all	UN
full.genome_network6	1	Missing1	NA	F006287	F006287	7
full.genome_network7	1	all	NA	F006287	all	UN
full.genome_network8	1	all	NA	F006287	all	UN
full.genome_network9	1	Missing1	NA	F006287	F006287	8
full.genome_network10	1	all	NA	F006287	all	UN
full.genome_network11	1	all	NA	F006287	all	UN
full.genome_network12	1	all	NA	F006287	all	UN
full.genome_network13	1	all	NA	F006287	all	UN
full.genome_network1	1	all	NA	F007505	all	UN
full.genome_network2	1	Missing3	NA	F007505	F007505	7
full.genome_network3	1	all	NA	F007505	all	UN
full.genome_network4	2	Missing2	NA	F007505	F007505	8
full.genome_network5	2	F036273	NA	F007505	F007505	8
full.genome_network6	1	Missing1	NA	F007505	F007505	7
full.genome_network7	1	all	NA	F007505	all	UN
full.genome_network8	1	Missing1	NA	F007505	F007505	6
full.genome_network9	1	Missing1	NA	F007505	F007505	8
full.genome_network10	1	F036345	NA	F007505	F007505	8
full.genome_network11	1	all	NA	F007505	all	UN
full.genome_network12	1	all	NA	F007505	all	UN
full.genome_network13	1	all	NA	F007505	all	UN
full.genome_network1	1	Missing1	NA	F007932	F007932	8
full.genome_network2	1	F021340	NA	F007932	F007932	8
full.genome_network3	2	F024110	NA	F007932	F007932	8
full.genome_network4	1	all	NA	F007932	all	UN
full.genome_network5	1	all	NA	F007932	all	UN
full.genome_network6	1	all	NA	F007932	all	UN
full.genome_network7	1	F036314	NA	F007932	F007932	8
full.genome_network8	1	all	NA	F007932	all	UN
full.genome_network9	1	Missing1	NA	F007932	F007932	8
full.genome_network10	1	F036345	NA	F007932	F007932	8
full.genome_network11	1	Missing1	NA	F007932	F007932	8
full.genome_network12	1	all	NA	F007932	all	UN
full.genome_network13	1	all	NA	F007932	all	UN
